item,type_of_base
disabilities,word
disability,word
disabled,word
disables,word
disadvantage,word
disadvantaged,word
disadvantages,word
disagree,word
disagreement,word
disagreements,word
disappear,word
disappeared,word
disappearing,word
disappears,word
disarm,word
discharged,word
discolor,word
discount,word
discouraged,word
discouraging,word
discover,word
discovered,word
discoveries,word
discovers,word
disease,word
diseases,word
disgraceful,word
dishonest,word
disintegrating,word
dislike,word
dislikes,word
dismemberment,word
disorders,word
disorient,word
dispelled,bound_root
disposable,bound_root
disposables,bound_root
disposal,bound_root
disposals,bound_root
dispose,bound_root
disposer,bound_root
disqualify,word
disregard,word
disrepair,word
disruptive,bound_root
dissatisfied,word
dissenting,word
disservice,word
dissimilar,word
dissimilated,word
dissolution,word
dissolve,word
dissolved,word
dissolving,word
distiller,bound_root
distracting,bound_root
distractions,bound_root
distribute,bound_root
distributed,bound_root
distributing,bound_root
distributors,bound_root
distrust,word
